Date,_GSPC
2014-12-19,0.9293443977344368
2014-12-22,0.9281754390172106
2014-12-23,0.9596224351937187
2014-12-24,0.9605741616867679
2014-12-26,0.9637527523450186
2014-12-29,0.9720916189275217
2014-12-30,0.972147534172518
2014-12-31,0.9728123363162976
2015-01-02,0.9721135476331502
2015-01-05,0.9724077564842761
2015-01-06,0.9447657228937953
2015-01-07,0.9413264651017061
2015-01-08,0.9333003407305335
2015-01-09,0.9125615847264362
2015-01-12,0.9116065233597119
2015-01-13,0.9083442736594697
2015-01-14,0.9081694628773072
2015-01-15,0.9063385484865121
2015-01-16,0.9009136483258718
2015-01-20,0.8911287176500644
2015-01-21,0.891054555515074
2015-01-22,0.8897433461645821
2015-01-23,0.8764386648742026
2015-01-26,0.8749946040696157
2015-01-27,0.8747163844706471
2015-01-28,0.8639000437774271
2015-01-29,0.8535876537221777
2015-01-30,0.8500686024731895
2015-02-02,0.8414137371574203
2015-02-03,0.8351532413705365
2015-02-04,0.8256553088253789
2015-02-05,0.8247105230048235
2015-02-06,0.8217833186749568
2015-02-09,0.8211361224411414
2015-02-10,0.8226367024275639
2015-02-11,0.8174791958444008
2015-02-12,0.8184860397626758
2015-02-13,0.8143862759245493
2015-02-17,0.8172123390350707
2015-02-18,0.8190991652134821
2015-02-19,0.8216405540988959
2015-02-20,0.8358243876851527
2015-02-23,0.8375080055472696
2015-02-24,0.8379892209047202
2015-02-25,0.8383878010861002
2015-02-26,0.8488133222609474
2015-02-27,0.8485642382672559
2015-03-02,0.853668473948098
2015-03-03,0.8523548770341434
2015-03-04,0.8651574407716742
2015-03-05,0.8797062850853715
2015-03-06,0.9092601538924164
2015-03-09,0.904265240482901
2015-03-10,0.9244334743255047
2015-03-11,0.9025186108384052
2015-03-12,0.9073263889253186
2015-03-13,0.8986906775930485
2015-03-16,0.9045993164652262
2015-03-17,0.8987459257325865
2015-03-18,0.9206623358264017
2015-03-19,0.9163555191719497
2015-03-20,0.9231828416086165
2015-03-23,0.9212143530194805
2015-03-24,0.9211356567810448
2015-03-25,0.9267719669254076
