Date,RARP_RI,RP_naive,VT_naive
2013-10-01,7.042170385601015e-07,-0.0002196677172060972,-0.00013692215037050578
2013-10-02,0.0002995789280894104,0.00021223175279954761,0.00024756588844531704
2013-10-03,-0.000810642391734583,-0.00012547600971016872,-0.00018762192117225882
2013-10-04,0.0005232567206455564,9.614832300524236e-06,5.5346210888690735e-05
2013-10-07,-0.0006641953678549943,-6.477809850685288e-05,-0.00010380736697173396
2013-10-08,-0.001163965593976334,-0.00027767771239855507,-0.0003386040325752335
2013-10-09,-0.0005486608186838533,-0.0006322212321634965,-0.000576932584846322
2013-10-10,0.0015717242276879835,0.00017693648563473573,0.00027749175420565284
2013-10-11,0.0002894010647359888,-0.0001630182386942169,-0.00012914120141850892
2013-10-14,0.00021628705491430017,-3.158431683892325e-05,5.9723127700427175e-06
2013-10-15,-0.000568509088258223,-6.684667226346082e-05,-0.00010451173134363268
2013-10-16,0.0016176155586526179,0.0006839245942789057,0.0006782078957488517
2013-10-17,0.0014499895978684755,0.0008265611050140484,0.0007484024460206787
2013-10-18,0.0006763098069579682,0.00028748106204657493,0.0003136494351718832
2013-10-21,-2.6903169180071187e-05,-2.0909479946360235e-05,-1.5158846420071434e-05
2013-10-22,0.0010246910730543877,0.00047706491081396025,0.00040339425394095047
2013-10-23,-8.635463292059459e-05,0.00010644179510498982,0.00011860510568154753
2013-10-24,2.87746683819962e-05,-9.506926331114506e-05,-0.00011711392092744318
2013-10-25,0.0006617523289245932,0.0004689085625114376,0.00043983888352242635
2013-10-28,5.102295512705611e-05,2.1404198514975827e-06,4.639399415114075e-06
2013-10-29,0.00012741069646254844,-0.00012006513751733373,-0.00012066719700358971
2013-10-30,-0.0005386694973039361,-0.000252928637913806,-0.00024551960198991563
2013-10-31,-0.00031596667909237184,-0.00019036978134173905,-0.00016696851275258828
2013-11-01,-0.0005553941131643033,-0.00040719267967826263,-0.0003901131675478671
2013-11-04,0.0003588902191425062,0.00015715161684480333,0.00015507557097822774
2013-11-05,-0.0005747726771246856,-0.0003155494842520737,-0.00029656361534343334
2013-11-06,0.0008831160611675475,0.000582448076169625,0.0005211361172938216
2013-11-07,-0.001101693566874637,-0.0005621152436504468,-0.000522290511231762
2013-11-08,-0.0001544950334657356,-0.00044576329228864127,-0.0003239210275175454
2013-11-11,0.0001021738485779382,0.00013973253542994308,0.00015818918212647754
2013-11-12,-0.00045822279158866576,-0.0002921077348347991,-0.00023447247251319424
2013-11-13,0.000835734916060412,0.0004706968351022564,0.00040196293216377
2013-11-14,0.0006802474867134033,0.00036778969745066014,0.000243110152312891
2013-11-15,0.00019650674718983403,6.591513314831301e-05,7.884826258421272e-05
2013-11-18,-0.00018102904951197108,-0.0001018693679175232,-9.951908220304658e-05
2013-11-19,-0.0004166772713538497,-0.00025362453476301066,-0.00019820456286034644
2013-11-20,-0.0011336678451655106,-0.0007003133718243261,-0.0005997380655034336
2013-11-21,0.0008198872303076004,0.00044156974615114147,0.00041412205067011904
2013-11-22,0.00044512746911835345,7.132263968551549e-05,1.7022228558284333e-05
2013-11-25,7.08451921497561e-05,7.698874576611255e-05,6.55141755799945e-05
2013-11-26,0.00010094827922769822,3.559101049850846e-05,1.5002646805338904e-05
2013-11-27,0.0001403438154416126,0.00011698668858457565,0.00014221951202264007
2013-11-29,-9.681922827230454e-05,-0.00019968892657529138,-0.00023023503541763933
2013-12-02,-0.0010645224648212243,-0.0006046748214971844,-0.0004739903602511896
2013-12-03,5.317260075934254e-05,0.0002232529718682476,0.00022417945619520368
2013-12-04,-2.8423709532648993e-05,-1.065808633512403e-05,4.142671718876271e-05
2013-12-05,-0.0009483479271915556,-0.000549097668287265,-0.0004470679596509637
2013-12-06,0.0011572132963526504,0.0005360671061079209,0.0003987917185573228
2013-12-09,0.0005748258426814184,0.00034025083185754373,0.00027735806521406766
2013-12-10,0.00023170125770675135,0.00015468399769051023,0.0001235141452153599
2013-12-11,-0.001371196194998422,-0.000592868542110486,-0.00041009122558725196
2013-12-12,-0.0010967646011328838,-0.00066734227737573,-0.0005208683371651665
2013-12-13,0.00019214560277799365,5.5697737051238515e-05,-1.7717635427035364e-05
2013-12-16,0.0004999319941746968,0.00018240623611560577,0.00018581316596441553
2013-12-17,-0.0001879820610091004,-7.16518668269251e-05,-7.86648005704189e-05
2013-12-18,0.0009409356483375544,0.00027176248894051014,0.00040571063458097597
2013-12-19,-0.0010015762822746827,-0.0006150744424622715,-0.0005551603965803427
2013-12-20,0.0007898934493255025,0.0002560040144438438,0.0002187363885213541
2013-12-23,8.189114051808811e-05,-8.067124471510745e-05,-3.314525132894399e-05
2013-12-24,-0.00010355356116198266,-9.417454760733774e-05,-4.57675611817984e-05
2013-12-26,0.00043250343730570303,0.00015295147537649036,0.00017310929318915545
2013-12-27,0.00018535608353182945,0.00022658103777379384,0.00022522308129020404
2013-12-30,-6.053239649546452e-05,-0.0001164138635725684,-8.772135334004134e-05
2013-12-31,-0.0002835141138359586,-0.00042371747957229127,-0.0003851309354208665
2014-01-02,-1.002528443213175e-05,0.00029757441814486985,0.0001458937052487606
2014-01-03,0.0003057121106544662,0.0003387851933617407,0.00029988614808383715
